PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Aaron Holiday,IND,23,4,0,4,18,7.8,3,5.3,57.1,1,2.3,44.4,0.8,1.3,60,0.3,1,1.3,2.5,1,1,0,2.5,15,0,0,-10.8
Abdel Nader,OKC,26,3,0,3,8.5,1.3,0.3,2.3,14.3,0.3,1.7,20,0.3,0.7,50,0.3,0.7,1,0,0,0.3,0.7,0.3,5.5,0,0,-7
Al Horford,PHI,34,4,0,4,32.1,7,3,6.3,48,0,1,0,1,1.8,57.1,2.3,5,7.3,2.3,0.8,0.3,1.3,3.5,22.8,1,0,-10.8
Alec Burks,PHI,28,4,0,4,23.7,10.5,4,12.3,32.7,0.8,4,18.8,1.8,2.3,77.8,1.8,2,3.8,1.8,0.8,0.3,0.8,1.8,19.9,0,0,-4.5
Alex Caruso,LAL,26,21,16,5,24.3,6.5,2.3,5.4,42.5,0.8,2.9,27.9,1.1,1.4,80,0.7,1.6,2.3,2.8,1.5,1.1,0.6,2.6,17,0,0,4.8
Alize Johnson,IND,24,1,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amir Coffey,LAC,23,3,3,0,2.3,0.7,0,1,0,0,0.3,0,0.7,0.7,100,0,0,0,1.3,0,0.3,0,0,3.7,0,0,5
Andre Iguodala,MIA,36,21,14,7,19.5,3.8,1.4,3.1,46.2,0.7,1.9,35.9,0.2,0.3,71.4,0.5,2,2.6,1.5,0.7,0.8,0.6,2.1,12.7,0,0,-0.7
Andre Roberson,OKC,28,1,0,1,3.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-6
Anfernee Simons,POR,21,4,0,4,20.5,6.8,2,6.5,30.8,1.5,3.5,42.9,1.3,1.5,83.3,0.3,2.5,2.8,2.5,1,1.5,0,1.8,17.3,0,0,1.3
Anthony Davis,LAL,27,21,16,5,36.6,27.7,9.8,17.1,57.1,1.1,2.9,38.3,7.1,8.5,83.2,2.6,7.1,9.7,3.5,2.5,1.2,1.4,2.7,50.1,12,0,8.8
Antonius Cleveland,DAL,26,2,0,2,4.6,2,1,2.5,40,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,4.1,0,0,-3.5
Austin Rivers,HOU,27,12,5,7,17.6,4.8,1.6,5.1,31.1,0.8,2.9,25.7,0.8,1.1,76.9,0.2,2.3,2.5,1.3,0.7,0.6,0.1,1.8,11.1,0,0,1.7
BJ Johnson,ORL,24,1,0,1,3.6,3,1,2,50,1,1,100,0,0,0,0,2,2,0,0,0,0,0,5.4,0,0,9
Bam Adebayo,MIA,22,19,13,6,36.2,17.8,6.5,11.6,56.4,0,0.1,0,4.7,6.1,78.3,2.5,7.8,10.3,4.4,2.5,1,0.8,3.1,39.9,11,0,3.2
Ben McLemore,HOU,27,11,4,7,11.8,4,1.4,3.6,37.5,1.3,3.3,38.9,0,0,0,0.2,0.8,1,0.5,0.3,0.4,0,0.7,6.8,0,0,4.5
Boban Marjanovic,DAL,31,6,2,4,13.7,6.8,2.8,5,56.7,0,0.2,0,1.2,1.5,77.8,1,4.8,5.8,0.8,0.5,0,0.3,1.5,15.6,0,0,3.2
Bol Bol,DEN,20,4,0,4,5.4,4.8,1.3,2.3,55.6,0.5,0.8,66.7,1.8,2,87.5,0.8,0.5,1.3,0,0.5,0.5,0.5,0.3,8.8,0,0,5
Brad Wanamaker,BOS,30,17,10,7,16,4.9,1.7,3.5,48.3,0.7,1.6,44.4,0.8,0.9,87.5,0.1,1.9,2,1.8,1.1,0.7,0.2,1.9,11.8,0,0,0.8
Brook Lopez,MIL,32,10,5,5,32.8,15.8,6.1,11.4,53.5,2.1,5.3,39.6,1.5,2,75,1.9,3.6,5.5,0.5,1.2,1,1.3,2.7,28.9,1,0,1.8
Bruno Caboclo,HOU,24,2,1,1,3.3,1,0.5,1,50,0,0.5,0,0,0,0,0,1.5,1.5,0,0,0.5,0,1,4.3,0,0,2
CJ McCollum,POR,28,5,1,4,39.2,23.2,8.8,19.8,44.4,2.6,7,37.1,3,4.4,68.2,1,4.8,5.8,3.2,3,1.2,0.4,2,36.8,0,0,-11.4
Caris LeVert,BKN,25,4,0,4,34.9,20.3,6.8,18.3,37,2.3,5.3,42.9,4.5,6.3,72,2,4,6,9.5,3.3,1.3,0.3,1.8,43,2,0,-13
Carmelo Anthony,POR,36,5,1,4,35.1,15.2,5.6,13.6,41.2,1.6,3.8,42.1,2.4,2.8,85.7,0.2,4.8,5,2,2.6,1,0.4,4,25.8,1,0,-13.4
Carsen Edwards,BOS,22,1,1,0,3.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-1
Chris Boucher,TOR,27,7,4,3,6.1,1.1,0.4,1.6,27.3,0.3,0.7,40,0,0.1,0,0.4,1.3,1.7,0.1,0.1,0,0.3,0.7,4.1,0,0,-0.9
Chris Chiozza,BKN,24,4,0,4,16.1,5.8,2,6,33.3,1.3,4,31.3,0.5,1,50,0.3,1.3,1.5,4.3,0.8,1.3,0,1.8,16.9,0,0,-11.3
Chris Clemons,HOU,22,2,1,1,4.1,3.5,1,2.5,40,1,2.5,40,0.5,1,50,0,1,1,0,0,0,0,0,4.7,0,0,5.5
Chris Paul,OKC,35,7,3,4,37.3,21.3,7.9,16,49.1,2.3,6.1,37.2,3.3,3.7,88.5,0.4,7,7.4,5.3,3.3,1.6,0.4,2.6,40.8,2,1,-5.4
